Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.20,-.25,-.09,-.16,-.09,-.22,-.20,-.10,-.15,-.22,-.22,-.19,-.18,***,***,-.12,-.17,-.20
1881,-.20,-.15,.02,.04,.07,-.19,.01,-.04,-.16,-.22,-.19,-.07,-.09,-.10,-.18,.04,-.07,-.19
1882,.16,.14,.05,-.16,-.14,-.22,-.16,-.07,-.14,-.23,-.17,-.36,-.11,-.09,.07,-.08,-.15,-.18
1883,-.29,-.37,-.12,-.18,-.18,-.07,-.07,-.14,-.22,-.11,-.24,-.11,-.18,-.20,-.34,-.16,-.10,-.19
1884,-.13,-.08,-.36,-.40,-.33,-.35,-.31,-.28,-.27,-.25,-.33,-.31,-.28,-.27,-.11,-.36,-.31,-.28
1885,-.59,-.34,-.26,-.42,-.45,-.43,-.33,-.31,-.28,-.23,-.24,-.10,-.33,-.35,-.41,-.38,-.36,-.25
1886,-.44,-.51,-.43,-.28,-.24,-.35,-.18,-.31,-.24,-.28,-.28,-.26,-.32,-.30,-.35,-.32,-.28,-.27
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.26,-.36,-.26,-.33,-.37,-.36,-.52,-.34,-.29,-.29
1888,-.34,-.36,-.41,-.20,-.22,-.17,-.10,-.16,-.12,.01,.03,-.04,-.17,-.20,-.34,-.28,-.14,-.03
1889,-.09,.16,.06,.09,-.01,-.10,-.07,-.20,-.23,-.25,-.34,-.29,-.11,-.08,.01,.05,-.13,-.27
1890,-.42,-.45,-.40,-.30,-.39,-.24,-.28,-.39,-.36,-.25,-.43,-.31,-.35,-.35,-.38,-.36,-.30,-.35
1891,-.34,-.46,-.18,-.27,-.16,-.21,-.17,-.17,-.15,-.22,-.31,-.04,-.22,-.25,-.37,-.20,-.18,-.23
1892,-.29,-.12,-.40,-.33,-.23,-.22,-.31,-.27,-.17,-.14,-.42,-.39,-.27,-.25,-.15,-.32,-.27,-.24
1893,-.81,-.56,-.22,-.28,-.34,-.25,-.14,-.26,-.22,-.18,-.19,-.32,-.31,-.32,-.59,-.28,-.22,-.20
1894,-.53,-.29,-.23,-.45,-.31,-.40,-.24,-.24,-.28,-.23,-.26,-.21,-.30,-.31,-.38,-.33,-.29,-.26
1895,-.41,-.43,-.33,-.22,-.27,-.21,-.17,-.17,-.12,-.11,-.17,-.14,-.23,-.24,-.35,-.27,-.18,-.14
1896,-.23,-.13,-.26,-.31,-.16,-.11,-.03,-.06,-.07,.06,-.05,-.05,-.12,-.12,-.16,-.24,-.06,-.02
1897,-.15,-.17,-.13,-.03,-.02,-.11,-.02,-.09,-.08,-.13,-.18,-.21,-.11,-.10,-.12,-.06,-.08,-.13
1898,-.03,-.30,-.51,-.31,-.31,-.19,-.22,-.27,-.22,-.35,-.39,-.24,-.28,-.28,-.18,-.38,-.23,-.32
1899,-.17,-.39,-.36,-.20,-.23,-.31,-.16,-.09,-.05,-.04,.12,-.26,-.18,-.18,-.26,-.26,-.19,.01
1900,-.36,-.06,.00,-.09,-.09,-.10,-.13,-.09,-.05,.09,-.07,-.07,-.08,-.10,-.23,-.06,-.10,-.01
1901,-.22,-.11,.06,-.02,-.15,-.12,-.14,-.20,-.22,-.29,-.16,-.27,-.15,-.14,-.13,-.04,-.15,-.22
1902,-.16,-.09,-.27,-.28,-.32,-.31,-.28,-.30,-.29,-.30,-.36,-.42,-.28,-.27,-.17,-.29,-.30,-.32
1903,-.24,-.06,-.23,-.41,-.40,-.42,-.35,-.45,-.49,-.47,-.42,-.51,-.37,-.36,-.24,-.35,-.41,-.46
1904,-.63,-.58,-.51,-.50,-.52,-.48,-.51,-.49,-.55,-.39,-.18,-.33,-.47,-.49,-.57,-.51,-.49,-.37
1905,-.35,-.59,-.21,-.34,-.29,-.28,-.26,-.21,-.19,-.25,-.07,-.13,-.26,-.28,-.42,-.28,-.25,-.17
1906,-.28,-.29,-.18,-.05,-.26,-.20,-.23,-.20,-.28,-.20,-.38,-.15,-.22,-.22,-.23,-.16,-.21,-.29
1907,-.43,-.51,-.27,-.37,-.46,-.42,-.35,-.34,-.34,-.23,-.46,-.47,-.39,-.36,-.36,-.37,-.37,-.34
1908,-.45,-.32,-.55,-.44,-.37,-.37,-.34,-.46,-.35,-.44,-.52,-.49,-.42,-.42,-.41,-.45,-.39,-.44
1909,-.72,-.45,-.54,-.59,-.54,-.52,-.45,-.34,-.38,-.40,-.32,-.56,-.48,-.48,-.55,-.56,-.43,-.37
1910,-.42,-.41,-.50,-.42,-.34,-.38,-.34,-.37,-.39,-.41,-.57,-.67,-.44,-.43,-.46,-.42,-.36,-.46
1911,-.62,-.57,-.60,-.54,-.51,-.50,-.42,-.43,-.40,-.26,-.21,-.21,-.44,-.48,-.62,-.55,-.45,-.29
1912,-.25,-.14,-.38,-.17,-.22,-.23,-.42,-.54,-.57,-.57,-.39,-.43,-.36,-.34,-.20,-.25,-.40,-.51
1913,-.40,-.44,-.42,-.39,-.43,-.45,-.36,-.34,-.34,-.31,-.19,-.02,-.34,-.38,-.42,-.42,-.38,-.28
1914,.05,-.09,-.23,-.29,-.21,-.25,-.23,-.15,-.16,-.03,-.15,-.03,-.15,-.15,-.02,-.25,-.21,-.11
1915,-.20,-.03,-.09,.07,-.06,-.22,-.12,-.22,-.20,-.24,-.13,-.20,-.14,-.12,-.09,-.03,-.19,-.19
1916,-.12,-.14,-.28,-.30,-.35,-.49,-.37,-.28,-.36,-.33,-.46,-.81,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.57,-.63,-.63,-.54,-.54,-.43,-.25,-.22,-.22,-.44,-.33,-.67,-.46,-.47,-.67,-.57,-.30,-.33
1918,-.47,-.34,-.25,-.44,-.43,-.36,-.31,-.31,-.17,-.06,-.11,-.29,-.29,-.33,-.49,-.37,-.33,-.11
1919,-.20,-.23,-.20,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.27,-.26,-.24,-.20,-.33,-.29
1920,-.24,-.27,-.12,-.24,-.27,-.35,-.30,-.26,-.21,-.26,-.26,-.46,-.27,-.27,-.31,-.21,-.30,-.25
1921,-.05,-.18,-.23,-.30,-.30,-.27,-.14,-.26,-.19,-.03,-.14,-.17,-.19,-.21,-.23,-.28,-.22,-.12
1922,-.34,-.44,-.15,-.23,-.32,-.30,-.27,-.33,-.34,-.31,-.14,-.19,-.28,-.28,-.32,-.23,-.30,-.27
1923,-.27,-.39,-.34,-.40,-.33,-.29,-.31,-.34,-.31,-.13,-.02,-.03,-.26,-.28,-.28,-.36,-.31,-.16
1924,-.22,-.23,-.08,-.30,-.18,-.26,-.29,-.36,-.32,-.35,-.20,-.43,-.27,-.24,-.16,-.19,-.30,-.29
1925,-.37,-.39,-.27,-.25,-.29,-.33,-.27,-.21,-.19,-.17,.06,.06,-.22,-.26,-.40,-.27,-.27,-.10
1926,.21,.03,.12,-.13,-.23,-.26,-.27,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.10,-.08,-.22,-.10
1927,-.27,-.17,-.39,-.30,-.26,-.27,-.18,-.24,-.12,-.01,-.05,-.33,-.22,-.21,-.24,-.31,-.23,-.06
1928,-.02,-.09,-.25,-.28,-.30,-.39,-.19,-.22,-.21,-.19,-.09,-.16,-.20,-.21,-.15,-.28,-.27,-.16
1929,-.45,-.58,-.32,-.41,-.38,-.43,-.36,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.39,-.37,-.37,-.17
1930,-.30,-.26,-.10,-.24,-.23,-.21,-.21,-.15,-.15,-.11,.18,-.05,-.15,-.19,-.36,-.19,-.19,-.03
1931,-.10,-.20,-.10,-.23,-.19,-.07,-.03,-.03,-.06,.06,-.05,-.05,-.09,-.09,-.12,-.17,-.04,-.02
1932,.16,-.16,-.18,-.05,-.17,-.28,-.24,-.21,-.10,-.08,-.27,-.26,-.15,-.14,-.02,-.13,-.24,-.15
1933,-.23,-.29,-.29,-.24,-.28,-.33,-.20,-.23,-.28,-.24,-.30,-.44,-.28,-.26,-.26,-.27,-.26,-.28
1934,-.20,-.02,-.28,-.30,-.09,-.14,-.10,-.12,-.14,-.06,.04,-.02,-.12,-.15,-.22,-.22,-.12,-.05
1935,-.33,.15,-.14,-.37,-.28,-.26,-.21,-.22,-.21,-.05,-.25,-.16,-.19,-.18,-.07,-.26,-.23,-.17
1936,-.27,-.37,-.20,-.20,-.15,-.21,-.09,-.13,-.08,-.02,.02,.00,-.14,-.16,-.27,-.18,-.14,-.03
