,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1880,-0.2,-0.25,-0.09,-0.16,-0.09,-0.22,-0.2,-0.1,-0.15,-0.22,-0.22,-0.19
1,1881,-0.2,-0.15,0.02,0.04,0.07,-0.19,0.01,-0.04,-0.16,-0.22,-0.19,-0.07
2,1882,0.16,0.14,0.05,-0.16,-0.14,-0.22,-0.16,-0.07,-0.14,-0.23,-0.17,-0.36
3,1883,-0.29,-0.37,-0.12,-0.18,-0.18,-0.07,-0.07,-0.14,-0.22,-0.11,-0.24,-0.11
4,1884,-0.13,-0.08,-0.36,-0.4,-0.33,-0.35,-0.31,-0.28,-0.27,-0.25,-0.33,-0.31
5,1885,-0.59,-0.34,-0.26,-0.42,-0.45,-0.43,-0.33,-0.31,-0.28,-0.23,-0.24,-0.1
6,1886,-0.44,-0.51,-0.43,-0.28,-0.24,-0.35,-0.18,-0.31,-0.24,-0.28,-0.28,-0.26
7,1887,-0.72,-0.57,-0.36,-0.35,-0.31,-0.25,-0.26,-0.36,-0.26,-0.36,-0.26,-0.33
8,1888,-0.34,-0.36,-0.41,-0.2,-0.22,-0.17,-0.1,-0.16,-0.12,0.01,0.03,-0.04
9,1889,-0.09,0.16,0.06,0.09,-0.01,-0.1,-0.07,-0.2,-0.23,-0.25,-0.34,-0.29
10,1890,-0.42,-0.45,-0.4,-0.3,-0.39,-0.24,-0.28,-0.39,-0.36,-0.25,-0.43,-0.31
11,1891,-0.34,-0.46,-0.18,-0.27,-0.16,-0.21,-0.17,-0.17,-0.15,-0.22,-0.31,-0.04
12,1892,-0.29,-0.12,-0.4,-0.33,-0.23,-0.22,-0.31,-0.27,-0.17,-0.14,-0.42,-0.39
13,1893,-0.81,-0.56,-0.22,-0.28,-0.34,-0.25,-0.14,-0.26,-0.22,-0.18,-0.19,-0.32
14,1894,-0.53,-0.29,-0.23,-0.45,-0.31,-0.4,-0.24,-0.24,-0.28,-0.23,-0.26,-0.21
15,1895,-0.41,-0.43,-0.33,-0.22,-0.27,-0.21,-0.17,-0.17,-0.12,-0.11,-0.17,-0.14
16,1896,-0.23,-0.13,-0.26,-0.31,-0.16,-0.11,-0.03,-0.06,-0.07,0.06,-0.05,-0.05
17,1897,-0.15,-0.17,-0.13,-0.03,-0.02,-0.11,-0.02,-0.09,-0.08,-0.13,-0.18,-0.21
18,1898,-0.03,-0.3,-0.51,-0.31,-0.31,-0.19,-0.22,-0.27,-0.22,-0.35,-0.39,-0.24
19,1899,-0.17,-0.39,-0.36,-0.2,-0.23,-0.31,-0.16,-0.09,-0.05,-0.04,0.12,-0.26
20,1900,-0.36,-0.06,0.0,-0.09,-0.09,-0.1,-0.13,-0.09,-0.05,0.09,-0.07,-0.07
21,1901,-0.22,-0.11,0.06,-0.02,-0.15,-0.12,-0.14,-0.2,-0.22,-0.29,-0.16,-0.27
22,1902,-0.16,-0.09,-0.27,-0.28,-0.32,-0.31,-0.28,-0.3,-0.29,-0.3,-0.36,-0.42
23,1903,-0.24,-0.06,-0.23,-0.41,-0.4,-0.42,-0.35,-0.45,-0.49,-0.47,-0.42,-0.51
24,1904,-0.63,-0.58,-0.51,-0.5,-0.52,-0.48,-0.51,-0.49,-0.55,-0.39,-0.18,-0.33
25,1905,-0.35,-0.59,-0.21,-0.34,-0.29,-0.28,-0.26,-0.21,-0.19,-0.25,-0.07,-0.13
26,1906,-0.28,-0.29,-0.18,-0.05,-0.26,-0.2,-0.23,-0.2,-0.28,-0.2,-0.38,-0.15
